#name;uri
artifacts;http://data.dariah.eu/vocabulary/tadirah/object/artifacts
bibliographic_listings;http://data.dariah.eu/vocabulary/tadirah/object/bibliographic_listings
computers;http://data.dariah.eu/vocabulary/tadirah/object/computers
curricula;http://data.dariah.eu/vocabulary/tadirah/object/curricula
digital_humanities;http://data.dariah.eu/vocabulary/tadirah/object/digital_humanities
data;http://data.dariah.eu/vocabulary/tadirah/object/data
file;http://data.dariah.eu/vocabulary/tadirah/object/file
images;http://data.dariah.eu/vocabulary/tadirah/object/images
images_3D;http://data.dariah.eu/vocabulary/tadirah/object/images_3D
infrastructure;http://data.dariah.eu/vocabulary/tadirah/object/infrastructure
interaction;http://data.dariah.eu/vocabulary/tadirah/object/interaction
language;http://data.dariah.eu/vocabulary/tadirah/object/language
link;http://data.dariah.eu/vocabulary/tadirah/object/link
literature;http://data.dariah.eu/vocabulary/tadirah/object/literature
manuscript;http://data.dariah.eu/vocabulary/tadirah/object/manuscript
map;http://data.dariah.eu/vocabulary/tadirah/object/map
metadata;http://data.dariah.eu/vocabulary/tadirah/object/metadata
methods;http://data.dariah.eu/vocabulary/tadirah/object/methods
multimedia;http://data.dariah.eu/vocabulary/tadirah/object/multimedia
multimodal;http://data.dariah.eu/vocabulary/tadirah/object/multimodal
named_entities;http://data.dariah.eu/vocabulary/tadirah/object/named_entities
persons;http://data.dariah.eu/vocabulary/tadirah/object/persons
projects;http://data.dariah.eu/vocabulary/tadirah/object/projects
research;http://data.dariah.eu/vocabulary/tadirah/object/research
research_process;http://data.dariah.eu/vocabulary/tadirah/object/research_process
research_results;http://data.dariah.eu/vocabulary/tadirah/object/research_results
sheet_music;http://data.dariah.eu/vocabulary/tadirah/object/sheet_music
software;http://data.dariah.eu/vocabulary/tadirah/object/software
sound;http://data.dariah.eu/vocabulary/tadirah/object/sound
standards;http://data.dariah.eu/vocabulary/tadirah/object/standards
text;http://data.dariah.eu/vocabulary/tadirah/object/text
text_bearing_objects;http://data.dariah.eu/vocabulary/tadirah/object/text_bearing_objects
tools;http://data.dariah.eu/vocabulary/tadirah/object/tools
video;http://data.dariah.eu/vocabulary/tadirah/object/video
visualisation;http://data.dariah.eu/vocabulary/tadirah/object/visualisation
VREs;http://data.dariah.eu/vocabulary/tadirah/object/VREs
