#Name;URI;Related Activity (URI)
bit_stream_preservation;http://data.dariah.eu/vocabulary/tadirah/technique/bit_stream_preservation;http://data.dariah.eu/vocabulary/tadirah/activity/storage/preservation
brainstorming;http://data.dariah.eu/vocabulary/tadirah/technique/brainstorming;
browsing;http://data.dariah.eu/vocabulary/tadirah/technique/browsing;
cluster_analysis;http://data.dariah.eu/vocabulary/tadirah/technique/cluster_analysis;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/stylistic_analysis
collocation_analysis;http://data.dariah.eu/vocabulary/tadirah/technique/collocation_analysis;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/structural_analysis
commenting;http://data.dariah.eu/vocabulary/tadirah/technique/commenting;
concordancing;http://data.dariah.eu/vocabulary/tadirah/technique/concordancing;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/structural_analysis
debugging;http://data.dariah.eu/vocabulary/tadirah/technique/debugging;
distance_measures;http://data.dariah.eu/vocabulary/tadirah/technique/distance_measures;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/stylistic_analysis
durable_persistent_media;http://data.dariah.eu/vocabulary/tadirah/technique/durable_persistent_media;http://data.dariah.eu/vocabulary/tadirah/activity/storage/preservation
emulation;http://data.dariah.eu/vocabulary/tadirah/technique/emulation;http://data.dariah.eu/vocabulary/tadirah/activity/storage/preservation
encoding;http://data.dariah.eu/vocabulary/tadirah/technique/encoding;
gamification;http://data.dariah.eu/vocabulary/tadirah/technique/gamification;http://data.dariah.eu/vocabulary/tadirah/activity/dissemination/crowdsourcing
georeferencing;http://data.dariah.eu/vocabulary/tadirah/technique/georeferencing;http://data.dariah.eu/vocabulary/tadirah/activity/enrichment/annotation
information_retrieval;http://data.dariah.eu/vocabulary/tadirah/technique/information_retrieval;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/content_analysis
linked_open_data;http://data.dariah.eu/vocabulary/tadirah/technique/linked_open_data;http://data.dariah.eu/vocabulary/tadirah/activity/enrichment/annotation
;;http://data.dariah.eu/vocabulary/tadirah/activity/dissemination/publishing
machine_learning;http://data.dariah.eu/vocabulary/tadirah/technique/machine_learning;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/structural_analysis
;;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/stylistic_analysis
;;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/content_analysis
mapping;http://data.dariah.eu/vocabulary/tadirah/technique/mapping;
migration;http://data.dariah.eu/vocabulary/tadirah/technique/migration;http://data.dariah.eu/vocabulary/tadirah/activity/storage/preservation
named_entity_recognition;http://data.dariah.eu/vocabulary/tadirah/technique/named_entity_recognition;http://data.dariah.eu/vocabulary/tadirah/activity/enrichment/annotation
;;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/content_analysis
open_archival_information_systems;http://data.dariah.eu/vocabulary/tadirah/technique/open_archival_information_systems;http://data.dariah.eu/vocabulary/tadirah/activity/storage/preservation
pattern_recognition;http://data.dariah.eu/vocabulary/tadirah/technique/pattern_recognition;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/relational_analysis
photography;http://data.dariah.eu/vocabulary/tadirah/technique/photography;
POS-tagging;http://data.dariah.eu/vocabulary/tadirah/technique/POS-tagging;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/structural_analysis
preservation_metadata;http://data.dariah.eu/vocabulary/tadirah/technique/preservation_metadata;http://data.dariah.eu/vocabulary/tadirah/activity/storage/preservation
principal_component_analysis;http://data.dariah.eu/vocabulary/tadirah/technique/principal_component_analysis;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/stylistic_analysis
replication;http://data.dariah.eu/vocabulary/tadirah/technique/replication;http://data.dariah.eu/vocabulary/tadirah/activity/storage/preservation
scanning;http://data.dariah.eu/vocabulary/tadirah/technique/scanning;
searching;http://data.dariah.eu/vocabulary/tadirah/technique/searching;
sentiment_analysis;http://data.dariah.eu/vocabulary/tadirah/technique/sentiment_analysis;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/content_analysis
sequence_alignment;http://data.dariah.eu/vocabulary/tadirah/technique/sequence_alignment;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/relational_analysis
technology_preservation;http://data.dariah.eu/vocabulary/tadirah/technique/technology_preservation;http://data.dariah.eu/vocabulary/tadirah/activity/storage/preservation
topic_modeling;http://data.dariah.eu/vocabulary/tadirah/technique/topic_modeling;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/content_analysis
versioning;http://data.dariah.eu/vocabulary/tadirah/technique/versioning;http://data.dariah.eu/vocabulary/tadirah/activity/analysis/content_analysis
web_crawling;http://data.dariah.eu/vocabulary/tadirah/technique/web_crawling;http://data.dariah.eu/vocabulary/tadirah/activity/capture/gathering
